"param_label","param_value","peak_pct","peak_year","final_pct","final_R_mean"
"δ = 0",0,51.7,2080,51.7,1.995
"δ = 0.005",0.005,24.1,2056,23.5,1.996
"δ = 0.01 (baseline)",0.01,10.4,2040,9.2,1.996
"δ = 0.02",0.02,4.1,2034,3,1.317
"δ = 0.03",0.03,2,2026,1.4,1.142
