"param_label","param_value","peak_pct","peak_year","final_pct","final_R_mean"
"P(cross) = 0.05",0.05,6.5,2036,5.4,1.748
"P(cross) = 0.1",0.1,8.2,2038,7.1,1.931
"P(cross) = 0.15 (baseline)",0.15,10.4,2040,9.2,1.996
"P(cross) = 0.25",0.25,15.8,2044,14.4,1.996
"P(cross) = 0.4",0.4,24.2,2039,22.3,1.997
