"param_label","param_value","peak_pct","peak_year","final_pct","final_R_mean"
"Factor = 0×",0,13.3,2049,12.4,1.997
"Factor = 0.5×",0.5,11.3,2038,10.1,1.995
"Factor = 1× (baseline)",1,10.4,2040,9.2,1.996
"Factor = 1.5×",1.5,10,2039,8.8,1.991
"Factor = 2×",2,8.8,2037,7.6,1.944
