"param_label","param_value","peak_pct","peak_year","final_pct","final_R_mean"
"γ = 0",0,9.5,2036,7.8,1.902
"γ = 0.015",0.015,10.4,2044,9.2,1.959
"γ = 0.03 (baseline)",0.03,10.4,2040,9.2,1.996
"γ = 0.06",0.06,10.6,2044,9.3,1.992
"γ = 0.1",0.1,11.7,2040,10.4,1.968
