"param_label","param_value","peak_pct","peak_year","final_pct","final_R_mean"
"Reg = 0.2",0.2,34.5,2046,33.8,1.997
"Reg = 0.3",0.3,24.6,2041,23.7,1.997
"Reg = 0.4",0.4,17.5,2048,16.4,1.996
"Reg = 0.5 (baseline)",0.5,10.4,2040,9.2,1.996
"Reg = 0.6",0.6,6.3,2034,5.1,1.764
"Reg = 0.7",0.7,2.8,2032,1.9,1.177
"Reg = 0.8",0.8,1.3,2022,0.7,1.177
"Reg = 0.9",0.9,0.6,2012,0.3,1.231
"Reg = 1",1,0.5,1980,0.1,1.243
