"param_label","param_value","peak_pct","peak_year","final_pct","final_R_mean"
"β = 0.1",0.1,1.7,2030,1.2,1.173
"β = 0.2",0.2,4.8,2034,3.8,1.52
"β = 0.3 (baseline)",0.3,10.4,2040,9.2,1.996
"β = 0.5",0.5,28.9,2050,28.2,1.996
"β = 0.7",0.7,46.8,2052,46.6,1.997
"β = 0.9",0.9,55.7,2067,55.6,1.997
