"param_label","param_value","peak_pct","peak_year","final_pct","final_R_mean"
"Impact = 0.1",0.1,13.8,2052,12.9,1.997
"Impact = 0.2",0.2,12.2,2046,11.1,1.997
"Impact = 0.3 (baseline)",0.3,10.4,2040,9.2,1.996
"Impact = 0.4",0.4,8.9,2034,7.6,1.977
"Impact = 0.5",0.5,7.9,2030,6.3,1.955
"Impact = 0.6",0.6,6.8,2026,5.3,1.919
"Impact = 0.7",0.7,6,2022,4.6,1.83
"Impact = 0.8",0.8,5.5,2016,4.3,1.744
"Impact = 0.9",0.9,5.1,2012,4.2,1.72
