"param_label","param_value","peak_pct","peak_year","final_pct","final_R_mean"
"0.5×",0.5,1.7,2026,1.1,1.138
"1× (baseline)",1,10.4,2040,9.2,1.996
"1.5×",1.5,29.6,2046,28.7,1.997
"2×",2,48,2048,47.6,1.997
"3×",3,60.5,2047,60.4,1.997
